signal,name,address,neighborhood,establishment_date,closure_date,verdict,notes
auto_repair,1069134 BC Ltd,2120 W 10TH AV,Kitsilano,2018-08-09,2019-12-31,"",""
auto_repair,Huu Phuoc Do (Huu Do),8936 SHAUGHNESSY ST,Marpole,2005-02-10,2016-12-31,"",""
auto_repair,663317 NB Ltd,1258 FRANCES ST,Strathcona,2019-03-18,2021-12-31,"",""
auto_repair,7 Days Auto Centre Ltd,1751 ONTARIO ST,Mount Pleasant,2015-04-14,2025-12-31,"",""
auto_repair,Axle Alley Auto Repair Ltd,2055 CLARK DRIVE,Strathcona,2013-01-14,2020-12-31,"",""
auto_repair,Brown Bros Collision Ltd Et Al,1222 E 67TH AV,Sunset,1997-03-17,2023-12-31,"",""
auto_repair,1267059 BC Ltd,1718 W 3RD AV,Fairview,2024-02-27,2025-12-31,"",""
auto_repair,Carlos Gilberto Moreno & Thanh Huyen Nguyen,2136 KINGSWAY,Kensington-Cedar Cottage,2013-04-24,2022-12-31,"",""
yoga_studios,Jukes Marshall Holdings Inc,525 SMITHE ST,Downtown,2015-10-06,2026-12-31,"",""
yoga_studios,Lisa Rain Pelzer & Daniel M Dworkis,"Unit 22, 555 W 12TH AV",Fairview,2011-09-30,2016-12-31,"",""
yoga_studios,YunFan Yoga Corp,3665 KINGSWAY,Renfrew-Collingwood,2015-01-09,2017-12-31,"",""
yoga_studios,Eve Johnson & Mary Balomenos,156 E 7th Av,Mount Pleasant,2003-05-07,2018-12-31,"",""
yoga_studios,Pure Freedom Yyoga Centers BC Inc,"Unit 280, 1050 HOMER ST",Downtown,2014-03-04,2021-12-31,"",""
yoga_studios,Ashtanga Yoga Vancouver Inc,"Unit 201, 2515 BURRARD ST",Kitsilano,2008-05-07,2019-12-31,"",""
yoga_studios,Jaspar The Yoga Ninja Inc,"Unit 280, 1050 HOMER ST",Downtown,2021-09-23,2025-12-31,"",""
yoga_studios,Granville Yoga & Sauna Inc,1468 SW MARINE DRIVE,Marpole,2023-05-02,2024-12-31,"",""
auto_repair,Volco Ent Ltd,732 SE MARINE DRIVE,Sunset,1997-03-11,2017-12-31,"",""
auto_repair,BNC Investment Ltd,688 Se Marine Drive,Sunset,2006-05-03,2016-12-31,"",""
auto_repair,(Ingo Bludau),"Unit 3, 9069 SHAUGHNESSY ST",Marpole,2008-04-07,2021-12-31,"",""
auto_repair,(Hu Yousofi),1658 MAIN ST,Strathcona,1997-03-11,2021-12-31,"",""
