signal,name,address,neighborhood,establishment_date,closure_date,verdict,notes
auto_repair,Balkaran S Dhak (Balkaran Dhak),"Unit 150, 8826 LAUREL ST",Marpole,2019-01-29,,"",""
auto_repair,Vancouver Auto Parts 2014 Ltd,1281 FRANCES ST,Strathcona,2015-06-01,,"",""
auto_repair,Commit Autobody & Repair (2012) Ltd,1043 UNION ST,Strathcona,2012-11-05,,"",""
auto_repair,Sovereign Motors Inc,8809 HEATHER ST,Marpole,2012-05-11,,"",""
auto_repair,Vancouver Motorrad Ltd,3061 GRANDVIEW HIGHWAY,Renfrew-Collingwood,2011-03-23,,"",""
auto_repair,Autobots Automotive Repairs Ltd,1751 ONTARIO ST,Mount Pleasant,2012-05-10,,"",""
auto_repair,Traction Motorcyles Ltd,837 E CORDOVA ST,Strathcona,2024-02-24,,"",""
auto_repair,Canada Radiators Incorporated,1520 CLARK DRIVE,Grandview-Woodland,2010-12-15,,"",""
yoga_studios,Uphoria Yoga Inc,88 E BROADWAY,Mount Pleasant,2020-11-25,,"",""
yoga_studios,Pure Freedom YYoga Wellness Inc,1569 W 6TH AV,Fairview,2013-11-29,,"",""
yoga_studios,Sahaara Karma Balance ( Kitsilano) Ltd,1801 W BROADWAY,Kitsilano,2017-09-29,,"",""
yoga_studios,Shannon Alyse Cluff (Shannon Cluff),3458 DUNBAR ST,Dunbar-Southlands,2011-08-15,,"",""
yoga_studios,Bloom Yoga Ltd,"Unit 220, 8337 GRANVILLE ST",Marpole,2013-11-29,,"",""
yoga_studios,SHREE SAI YOGA STUDIOS LTD.,1801 W BROADWAY,Kitsilano,2026-03-19,,"",""
yoga_studios,Yoga Buttons Kids Yoga Ltd,2525 W BROADWAY,Kitsilano,2012-09-18,,"",""
yoga_studios,Vancity Yoga Ltd,255 E PENDER ST,Strathcona,2022-10-13,,"",""
whole_foods_openings,Whole Foods Market - Wo Inc,1675 ROBSON ST,West End,2010-09-01,,"",""
whole_foods_openings,Whole Foods Market - Wo Inc,"Unit 100, 2285 W 4TH AV",Kitsilano,2010-09-01,,"",""
auto_repair,Kingsway Brake & Muffler Ltd,2219 KINGSWAY,Kensington-Cedar Cottage,2010-12-14,,"",""
auto_repair,Charles Garage Ltd,168 W 71ST AV,Marpole,2022-06-03,,"",""
