business_name,address,neighborhood,establishment_date,last_observed_licence_date,closure_date,business_id,verdict,notes
Pure Freedom Yyoga Centers BC Inc,"Unit 280, 1050 HOMER ST",Downtown,2014-03-04,2020-12-10,2021-12-31,17676251222856153468,"",""
Jaspar The Yoga Ninja Inc,"Unit 280, 1050 HOMER ST",Downtown,2021-09-23,2025-03-14,2025-12-31,6947711858391357624,"",""
Michael Aaron Hessel (Michael Hessel),"Unit 411, 55 WATER ST",Downtown,2010-01-15,2010-01-15,2010-12-31,3016731420154206484,"",""
Jukes Marshall Holdings Inc,525 SMITHE ST,Downtown,2015-10-06,2025-12-12,2026-12-31,15586535722624655056,"",""
Yogacara Practice & Meditation Studio Inc,2460 TRAFALGAR ST,Kitsilano,2009-07-17,2012-12-20,2013-12-31,11640630698833401890,"",""
Yaletown Yoga Inc,1232 RICHARDS ST,Downtown,2002-07-31,2006-01-03,2006-12-31,13657054838130874991,"",""
Exhale Yoga Pilates and Dance Studio Inc,"Floor 2nd, 1083 CAMBIE ST",Downtown,2008-04-10,2014-12-04,2015-12-31,11621507737260856369,"",""
Eve Johnson & Mary Balomenos,156 E 7th Av,Mount Pleasant,2003-05-07,2017-11-19,2018-12-31,9137020088570257260,"",""
1044479 BC Ltd,8578 CORNISH ST,Marpole,2016-06-08,2018-12-28,2019-12-31,15048677720620800411,"",""
Ashtanga Yoga Vancouver Inc,"Unit 201, 2515 BURRARD ST",Kitsilano,2008-05-07,2018-11-29,2019-12-31,12709434316247613640,"",""
City Yoga Inc,"Unit 110, 1985 W BROADWAY",Kitsilano,2006-03-31,2006-03-31,2006-12-31,8829295913278744906,"",""
Melanie Dawn Phillips (Melanie Phillips),1707 GRANT ST,Grandview-Woodland,2006-10-31,2007-12-07,2008-12-31,6672145688264045658,"",""
Lisa Pelzer & Danny Dworkis,2681 W BROADWAY,Kitsilano,2007-06-22,2013-12-31,2014-12-31,952860510415249311,"",""
Nancy Louise Frohlick (Nancy Frohlick),4531 MAIN ST,Riley Park,2008-09-08,2010-12-08,2011-12-31,13511032428094424032,"",""
Yogacara Wellness & Development Centre Inc,2460 TRAFALGAR ST,Kitsilano,2013-06-28,2013-12-27,2014-12-31,17265671167198999605,"",""
617670 BC Ltd,"Unit 101, 1650 Alberni St",West End,2001-12-14,2014-01-01,2014-12-31,18029641472123816681,"",""
Lisa Rain Pelzer & Daniel M Dworkis,"Unit 22, 555 W 12TH AV",Fairview,2011-09-30,2015-11-23,2016-12-31,6250652712505415644,"",""
Flow Yoga Studio Ltd,"Unit 201, 888 BURRARD ST",Downtown,2008-05-14,2015-12-21,2016-12-31,13725487913377970875,"",""
Granville Yoga & Sauna Inc,1468 SW MARINE DRIVE,Marpole,2023-05-02,2024-01-30,2024-12-31,216273551505139608,"",""
Open Door Yoga Inc,1111 COMMERCIAL DRIVE,Grandview-Woodland,2008-11-17,2012-01-11,2012-12-31,5472888054359836269,"",""
