business_name,address,neighborhood,establishment_date,last_observed_licence_date,business_id,verdict,notes
0891304 B.C. LTD.,560 E 15TH AVENUE,Mount Pleasant,2024-06-21,2026-01-12,10582249341491882058,"",""
Bikrams Yoga College of India Commercial Drive Inc,"Floor 2nd, 1109 Commercial Drive",Grandview-Woodland,2003-09-30,2025-12-03,1764045625827617956,"",""
Lisa Pelzer & Danny Dworkis,2893 Cambie St,Fairview,2003-01-08,2007-11-28,3928595954196123536,"",""
Pure Freedom YYoga Wellness Inc,1569 W 6TH AV,Fairview,2013-11-29,2014-11-13,15810530578722562702,"",""
Ocean and Crow Studios Inc,1707 GRANT ST,Grandview-Woodland,2012-07-23,2019-12-29,5461034190570895731,"",""
Westcoast Yoga Group Ltd,1128 MAINLAND ST,Downtown,2007-04-23,2015-11-10,14761863047873223274,"",""
Inner Space Yoga Ltd,"Unit 100, 289 ABBOTT ST",Downtown,2011-01-12,2013-04-26,15888774590294292812,"",""
Pure Freedom YYoga Centers BC Inc,"Unit 201, 888 BURRARD ST",Downtown,2017-01-09,2025-12-30,578334257708592937,"",""
Bloom Yoga Ltd,"Unit 220, 8337 GRANVILLE ST",Marpole,2013-11-29,2013-11-29,5799553438136510231,"",""
Jensen Legacy Holdings Limited,564 W BROADWAY,Fairview,2015-10-07,2017-12-27,10840674768625733627,"",""
(Cheryl Joseph),585 E 7TH AV,Mount Pleasant,2024-08-01,2025-11-17,17430194054127677433,"",""
(Louie Ettling),677 E 27TH AV,Riley Park,2013-05-21,2018-02-14,2702214407430689814,"",""
FLOWHAUS YOGA INC.,2893 CAMBIE ST,Fairview,2025-09-23,2025-12-01,9802444351917889460,"",""
Moliver Enterprises Ltd,1777 HARO ST,West End,2019-07-12,2025-05-31,7156790953278681803,"",""
YOGA CIRCLE COLLECTIVE HEALING LAB INC.,"Unit 301, 2515 BURRARD STREET",Kitsilano,2024-01-11,2025-11-29,2716196874717708122,"",""
Sahaara Karma Balance ( Kitsilano) Ltd,1801 W BROADWAY,Kitsilano,2017-09-29,2018-01-17,16904416957222008069,"",""
0995891 BC Ltd,"Floor 2nd, 1083 CAMBIE ST",Downtown,2015-07-10,2015-07-10,17835041730774695172,"",""
Dharma Movement Company Inc,1083 CAMBIE ST,Downtown,2016-09-09,2016-11-08,1902222653458608972,"",""
1018849 BC Ltd,1801 W BROADWAY,Kitsilano,2019-07-24,2022-01-23,9410719123174081194,"",""
(Vesna Djuric),261 UNION ST,Strathcona,2020-09-22,2024-11-20,14038185020965134601,"",""
